ano;semestre;cod_grupo_preferencia;1_semestre_bruto;2_semestre_bruto;3_semestre_bruto;5_semestre_bruto;6_semestre_bruto;7_semestre_bruto;8_semestre_bruto;9_semestre_bruto;10_semestre_bruto;11_semestre_bruto;12_semestre_bruto
2021;1;118368;3116,46;3116,46;3116,46;3116,46;3116,46;3116,46;3116,46;0;0;0;0
2021;1;118530;4113,43;4113,43;4113,43;4113,43;4113,43;0;0;0;0;0;0
2021;1;120098;5539,62;5539,62;5539,62;5539,62;5539,62;5539,62;5539,62;0;0;0;0
2021;1;121001;5760;5760;5760;5760;5760;5760;5760;0;0;0;0
2021;1;120434;5840,55;5840,55;5840,55;5840,55;5840,55;5840,55;5840,55;5840,55;5840,55;0;0
2021;1;122149;4303,14;4021,86;4629,48;0;0;0;0;0;0;0;0
2021;1;119446;5525,8;5525,8;5525,8;5525,8;5525,8;5525,8;5525,8;0;0;0;0
2021;1;121347;9526,56;9526,56;9526,56;9526,56;9526,56;9526,56;9526,56;0;0;0;0
2021;1;121254;4955,22;4955,22;4955,22;4955,22;0;0;0;0;0;0;0
2021;1;120366;5160;5160;5160;0;0;0;0;0;0;0;0
2021;1;121002;6228,43;5585,98;6228,43;6228,43;5585,98;6228,43;5585,98;0;0;0;0
2021;1;120304;6442,08;7914,56;7914,56;7914,56;7914,56;7914,56;7914,56;0;0;0;0
2021;1;121715;5896,8;5896,8;5896,8;5896,8;5896,8;5896,8;5896,8;0;0;0;0
2021;1;121351;6287,4;6287,4;6287,4;6287,4;6287,4;6287,4;6287,4;0;0;0;0
2021;1;119287;4799,14;4799,14;4799,14;4799,14;4799,14;4799,14;4799,14;0;0;0;0
2021;1;119704;9516;9516;9516;9516;9516;9516;9516;9516;9516;0;0
2021;1;120644;6900;6792,84;7058,34;8364,6;6481,2;7984,68;8560,2;0;0;0;0
2021;1;119133;5590,38;5590,38;5590,38;5590,38;5590,38;5590,38;5590,38;5590,38;5590,38;0;0
2021;1;119402;4392;4392;4392;4392;0;0;0;0;0;0;0
2021;1;122098;6444,42;6444,42;6444,42;6444,42;6256,74;6444,42;6256,74;6444,42;6256,74;0;0
2021;1;118069;13701,18;13701,18;13701,18;13701,18;13701,18;13701,18;13701,18;13701,18;13701,18;0;0
2021;1;122199;7658,98;6921,85;6592,24;7658,88;8705,56;8291,01;8995,74;0;0;0;0
2021;1;118111;8784;8784;8784;8784;8784;8784;8784;8784;8784;0;0
2021;1;120824;6180;6180;6180;8634;8634;8634;8634;8634;8634;0;0
2021;1;118300;4456,29;4456,29;4456,29;4456,29;4456,29;0;0;0;0;0;0
2021;1;121018;8448;7788;7712,64;0;0;0;0;0;0;0;0
2021;1;121558;8304;8304;8304;8304;8304;8304;8304;0;0;0;0
2021;1;122087;4813,68;4813,68;4813,68;4813,68;0;0;0;0;0;0;0
2021;1;119307;3774;3774;3774;3774;3774;3774;3774;0;0;0;0
2021;1;121614;9698,74;9698,74;9698,74;0;0;0;0;0;0;0;0
2021;1;118535;2964,42;2964,42;2964,42;2964,42;0;0;0;0;0;0;0
2021;1;120724;5640;5640;5640;5640;5640;5640;5640;0;0;0;0
2021;1;118723;2997,39;2997,39;2997,39;2997,39;2997,39;2997,39;2997,39;0;0;0;0
2021;1;120051;9588;7452;7812;8262;8262;8262;8262;8262;8262;0;0
2021;1;118552;11880;11880;11880;11880;11880;11880;11880;11880;11880;0;0
2021;1;118730;7773,48;7773,48;7773,48;7773,48;7773,48;7773,48;7773,48;7773,48;7773,48;0;0
2021;1;120276;3485,89;3983,88;4481,86;4481,86;4481,86;4979,84;4979,84;0;0;0;0
2021;1;122106;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;4713,43;0;0;0;0
2021;1;118684;4680;4680;4680;4680;4680;4680;4680;0;0;0;0
2021;1;119375;10812;10812;10812;10812;10812;10812;10812;10812;10812;0;0
2021;1;119304;6522;6522;6522;6522;6522;6522;6522;6522;6522;0;0
