ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
UNIVERSIDADE DE SOROCABA;150;Universidade;SP;Sorocaba;70;1
CENTRO UNIVERSITARIO DE VARZEA GRANDE;794;Centro Universitário;MT;Várzea Grande;100;0
FACULDADE DE EDUCAÇAO SAO FRANCISCO;1546;Faculdade ;MA;Pedreiras;50;0
Faculdade Doctum de Vitória;1064;Faculdade ;ES;Vitória;150;0
CENTRO UNIVERSITARIO DA FUNDAÇAO EDUCACIONAL DE BARRETOS;3641;Centro Universitário;SP;Barretos;40;0
FACULDADE ANHANGUERA DE VALPARAASO;2756;Faculdade ;GO;Valparaíso de Goiás;60;0
CENTRO UNIVERSIARIO UNIFTC;1364;Centro Universitário;BA;Vitória da Conquista;50;0
CENTRO UNIVERSITARIO GUAIRACA;3797;Centro Universitário;PR;Guarapuava;100;0
UNIAO DAS FACULDADES DOS GRANDES LAGOS;1046;Faculdade ;SP;São José do Rio Preto;100;0
FACULDADE CNEC GRAVATAÍ;2184;Faculdade ;RS;Gravataí;80;0
CENTRO UNIVERSITARIO DE ANAPOLIS;384;Centro Universitário;GO;Anápolis;100;1
FACULDADE DOM LUÍS DE ORLEANS E BRAGANÇA;3669;Faculdade ;BA;Ribeira do Pombal;100;0
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;532;Universidade;RS;Ijuí;40;2
FACULDADE DE ENSINO SUPERIOR DO INTERIOR PAULISTA;4000;Faculdade ;SP;Marília;100;2
FACULDADE UNINASSAU PARNAMIRIM;16943;Faculdade ;RN;Parnamirim;120;0
Faculdade Unirb - Mossoró;1680;Faculdade ;RN;Mossoró;70;0
FACULDADES INTEGRADAS DE TRÊS LAGOAS;1038;Faculdade ;MS;Três Lagoas;80;0
FACULDADE SANTA MARIA DA GLÓRIA;1850;Faculdade ;PR;Maringá;120;1
UNIVERSIDADE METODISTA DE SAO PAULO;167;Universidade;SP;São Bernardo do Campo;80;0
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP;2005;Faculdade ;MT;Sinop;60;0
FACULDADE ANHANGUERA DE JACAREA;5555;Faculdade ;SP;Jacareí;80;0
FACULDADE ANHANGAœERA DE PIRACICABA;4656;Faculdade ;SP;Piracicaba;160;0
FACULDADE DE TECNOLOGIA DE TAUBATÉ;4873;Faculdade ;SP;Taubaté;130;0
FACULDADE DE TECNOLOGIA DE CRUZEIRO DO OESTE;12268;Faculdade ;PR;Cruzeiro do Oeste;60;0
Centro Universitário Unifacig;1984;Centro Universitário;MG;Manhuaçu;100;2
UNIVERSIDADE SALGADO DE OLIVEIRA;663;Universidade;RJ;São Gonçalo;200;3
INSTITUTO DE CIÊNCIAS DA SAÚDE;1600;Faculdade ;MG;Montes Claros;96;2
FACULDADES INTEGRADAS DE FERNANDÓPOLIS;1299;Faculdade ;SP;Fernandópolis;70;0
CENTRO UNIVERSITARIO FAI;1773;Centro Universitário;SC;Itapiranga;80;1
INSTITUTO ESPERANÇA DE ENSINO SUPERIOR;1672;Faculdade ;PA;Santarém;50;2
INSTITUTO MACAPAENSE DE ENSINO SUPERIOR;2469;Faculdade ;AP;Macapá;30;3
FACULDADE CIDADE DE JOAO PINHEIRO;2440;Faculdade ;MG;João Pinheiro;100;2
UNIVERSIDADE DO VALE DO SAPUCAÍ;1586;Universidade;MG;Pouso Alegre;60;0
FACULDADE VALE DO CRICARÉ;1514;Faculdade ;ES;São Mateus;50;2
CENTRO UNIVERSITARIO PRESIDENTE ANTÔNIO CARLOS;308;Centro Universitário;MG;Barbacena;94;2
